network_name,price_past,lr,test_mse_loss,test_mae,test_mape
RNN,15,6.192307692307693e-05,1450246.3454604428,1065.8857542924413,0.05947169302845888
RNN,15,6.446153846153846e-05,1174896.8806697796,933.121091124832,0.05255162984724162
RNN,15,6.7e-05,1500432.3907507164,1085.3291187719346,0.06038291057490542
RNN,15,6.953846153846154e-05,1510636.930152738,1070.085181451613,0.05996844076675006
RNN,15,7.207692307692308e-05,1506253.8286126978,1100.5048689574467,0.06090022442865729
RNN,15,7.461538461538462e-05,1372917.3915776443,1019.9660120956074,0.05717100774654573
RNN,15,7.715384615384615e-05,1370887.4992524104,1043.7479431808636,0.05790128254358353
RNN,15,7.969230769230769e-05,1338284.3895968092,1025.5172636882094,0.056965557602428905
RNN,15,8.223076923076923e-05,1496979.101476161,1077.8559010276658,0.06024422807387536
RNN,15,8.476923076923077e-05,1125610.0517951483,959.9728419077154,0.052378286630373666
RNN,15,8.73076923076923e-05,1166232.4132612403,964.7195299665846,0.05334214589685388
RNN,15,8.984615384615384e-05,810798.6397490689,808.1637524384894,0.043597610590015864
RNN,15,9.238461538461538e-05,1356900.267647546,1028.6694244056619,0.05737425108232147
RNN,15,9.492307692307692e-05,1248227.469943868,990.220308620585,0.054597272216080905
RNN,15,9.746153846153845e-05,1418218.7336192434,1054.9134232715894,0.0585965746543576
RNN,15,0.0001,1148466.950066971,954.1140644251232,0.052491429410685686
LSTM_GRU,15,1e-06,127560000.0191159,10997.500299269153,0.5933835441992132
LSTM_GRU,15,3.538461538461538e-06,14464269.483572282,3445.3517112595205,0.19246854130601512
LSTM_GRU,15,6.076923076923077e-06,4122186.047303194,1596.9360223220954,0.09350752509605215
LSTM_GRU,15,8.615384615384615e-06,2308917.247207988,1230.808747176486,0.07126293585857148
LSTM_GRU,15,1.1153846153846154e-05,3159663.1868833774,1405.6713616338113,0.08211125930929233
LSTM_GRU,15,1.3692307692307692e-05,3625836.504593461,1499.1609788026433,0.08763525519923951
LSTM_GRU,15,1.623076923076923e-05,2933923.446732424,1351.1680060857227,0.0788685535119675
LSTM_GRU,15,1.876923076923077e-05,2866829.5759414434,1342.4158811580608,0.07843292130851671
LSTM_GRU,15,2.1307692307692308e-05,3369275.4062289987,1438.5629445284499,0.0840866500956842
LSTM_GRU,15,2.3846153846153846e-05,3382375.23135489,1457.7626617686865,0.0851483558636468
LSTM_GRU,15,2.6384615384615384e-05,3873910.9035612447,1553.2753325796184,0.09084227248573433
LSTM_GRU,15,2.8923076923076925e-05,2896722.3106244635,1346.9794428926784,0.07867539016554397
LSTM_GRU,15,3.146153846153846e-05,3540830.7197965668,1489.7250247349164,0.08701223573227955
LSTM_GRU,15,3.4e-05,2457216.982271949,1241.251870286365,0.07237467746191359
LSTM_GRU,15,3.653846153846154e-05,3027373.445217994,1373.198431491282,0.08029639092009747
LSTM_GRU,15,3.9076923076923075e-05,2578816.505243044,1265.5209152969123,0.07398713562301534
LSTM_GRU,15,4.161538461538461e-05,3395299.7047505626,1448.7508595966808,0.08469561699849054
LSTM_GRU,15,4.415384615384615e-05,2992761.830641953,1386.0748461651547,0.08071740485770626
LSTM_GRU,15,4.669230769230769e-05,2362658.1066436586,1239.312514000896,0.07183191651120123
LSTM_GRU,15,4.9230769230769225e-05,2349583.5494103287,1237.6722544826202,0.07172036960525183
LSTM_GRU,15,5.176923076923076e-05,2732460.28306895,1339.3092841691869,0.07773128785599098
LSTM_GRU,15,5.430769230769231e-05,2802618.286273113,1318.8254461618876,0.07699837638126417
LSTM_GRU,15,5.6846153846153845e-05,2482530.325753598,1275.1568103275276,0.07395953666630202
LSTM_GRU,15,5.938461538461538e-05,3158458.037936595,1419.3781257000448,0.08261552806904711
LSTM_GRU,15,6.192307692307693e-05,2279756.984405627,1206.7011660412934,0.07023458239837163
LSTM_GRU,15,6.446153846153846e-05,2483453.8210090445,1295.9007234379667,0.07476304755368123
LSTM_GRU,15,6.7e-05,3058056.980693931,1415.427423146748,0.08201522254963653
LSTM_GRU,15,6.953846153846154e-05,2355871.257484062,1248.116514290248,0.07222363942529753
LSTM_GRU,15,7.207692307692308e-05,1891808.2255987716,1111.9046455848174,0.06442837189107448
LSTM_GRU,15,7.461538461538462e-05,2616560.095202593,1313.1258957656623,0.0760717190033784
